SrcIP,SrcPort,DstIP,DstPort,StartTime_s,EndTime_s,Duration_s,TotalBytes,TotalPackets,Retransmissions,HandshakeTime_ms,MSS,IsElephant,AvgThroughput_bps
203.177.178.203,443,232.33.64.185,21559,1744145100.338834,1744145100.338834,0.000001,0,1,0,-1.000,-1,0,0.00
221.123.214.187,56476,212.204.5.133,1433,1744145100.338724,1744145100.338724,0.000001,0,1,0,-1.000,-1,0,0.00
131.222.211.3,34401,182.165.24.202,32768,1744145100.338668,1744145100.338668,0.000001,0,1,0,-1.000,1460,0,0.00
27.181.178.203,53,177.223.59.138,56844,1744145100.338520,1744145100.338520,0.000001,0,1,0,-1.000,1220,0,0.00
111.197.15.14,45558,104.221.13.202,43,1744145100.338513,1744145100.338969,0.000456,27,2,0,-1.000,-1,0,473684.21
252.143.178.119,19909,207.209.5.133,23,1744145100.338453,1744145100.338453,0.000001,0,1,0,-1.000,-1,0,0.00
177.223.59.138,56844,27.181.178.203,53,1744145100.338295,1744145100.338295,0.000001,0,1,0,0.225,1460,0,0.00
65.32.161.83,55634,16.37.5.133,7366,1744145100.338210,1744145100.338210,0.000001,0,1,0,-1.000,-1,0,0.00
84.120.220.179,19700,115.208.152.202,23,1744145100.338179,1744145100.338179,0.000001,0,1,0,-1.000,1460,0,0.00
164.158.38.78,52984,55.186.178.203,80,1744145100.338126,1744145100.338126,0.000001,0,1,0,2.421,1452,0,0.00
59.208.81.205,55891,78.180.67.150,3690,1744145100.338089,1744145100.338089,0.000001,0,1,0,-1.000,1460,0,0.00
227.129.135.15,55288,212.19.113.131,3074,1744145100.338026,1744145100.338026,0.000001,0,1,0,-1.000,1460,0,0.00
165.146.88.185,51617,83.139.164.163,37777,1744145100.337945,1744145100.337945,0.000001,0,1,0,-1.000,1460,0,0.00
166.244.158.141,38869,184.4.67.150,8728,1744145100.337942,1744145100.337942,0.000001,0,1,0,-1.000,-1,0,0.00
238.182.89.167,44150,170.248.5.133,5280,1744145100.337907,1744145100.337907,0.000001,0,1,0,-1.000,1460,0,0.00
67.166.55.170,33995,59.15.67.150,8728,1744145100.337811,1744145100.337811,0.000001,0,1,0,-1.000,-1,0,0.00
238.177.63.128,40505,114.255.152.202,2375,1744145100.337765,1744145100.337765,0.000001,0,1,0,-1.000,-1,0,0.00
76.228.139.122,7121,114.54.164.163,23,1744145100.337727,1744145100.337727,0.000001,0,1,0,-1.000,-1,0,0.00
117.215.173.157,40922,148.228.43.65,183,1744145100.337669,1744145100.337669,0.000001,0,1,0,-1.000,-1,0,0.00
37.19.8.117,48824,145.171.178.203,23,1744145100.337562,1744145100.337562,0.000001,0,1,0,-1.000,1420,0,0.00
69.91.241.103,59429,3.35.67.150,23,1744145100.337540,1744145100.337540,0.000001,0,1,0,-1.000,-1,0,0.00
158.131.135.15,48421,36.181.28.133,4505,1744145100.337527,1744145100.337527,0.000001,0,1,0,-1.000,1460,0,0.00
196.27.169.95,60778,224.201.67.150,4153,1744145100.337468,1744145100.337468,0.000001,0,1,0,-1.000,-1,0,0.00
191.182.89.167,55920,234.164.24.202,16548,1744145100.337306,1744145100.337306,0.000001,0,1,0,-1.000,-1,0,0.00
46.122.89.23,40123,138.41.5.133,3389,1744145100.337293,1744145100.337293,0.000001,0,1,0,-1.000,-1,0,0.00
39.227.217.81,50134,226.165.24.202,445,1744145100.337279,1744145100.337279,0.000001,1350,1,0,-1.000,-1,0,10800000000.00
60.244.158.141,44873,146.233.67.150,5555,1744145100.337206,1744145100.337206,0.000001,0,1,0,-1.000,-1,0,0.00
80.166.55.170,54932,3.128.178.203,8728,1744145100.337201,1744145100.337201,0.000001,0,1,0,-1.000,-1,0,0.00
39.142.247.118,46721,35.153.178.203,23,1744145100.337166,1744145100.337166,0.000001,0,1,0,-1.000,1460,0,0.00
223.236.83.154,52682,3.73.67.150,81,1744145100.337127,1744145100.337127,0.000001,0,1,0,-1.000,-1,0,0.00
168.96.212.172,42160,13.52.5.133,5631,1744145100.337084,1744145100.337084,0.000001,0,1,0,-1.000,-1,0,0.00
187.34.236.89,59341,123.174.67.150,37362,1744145100.337078,1744145100.337078,0.000001,0,1,0,-1.000,-1,0,0.00
187.34.236.89,59341,4.199.67.150,34565,1744145100.336925,1744145100.336925,0.000001,0,1,0,-1.000,-1,0,0.00
187.34.236.89,59341,166.226.67.150,34544,1744145100.336897,1744145100.336897,0.000001,0,1,0,-1.000,-1,0,0.00
175.42.56.200,30122,116.127.173.157,51911,1744145100.336807,1744145100.336807,0.000001,0,1,0,-1.000,-1,0,0.00
239.129.135.15,49547,17.138.178.203,8406,1744145100.336799,1744145100.336799,0.000001,0,1,0,-1.000,1460,0,0.00
12.246.55.121,15339,250.139.113.131,23,1744145100.336695,1744145100.336695,0.000001,0,1,0,-1.000,-1,0,0.00
55.186.178.203,80,36.136.162.69,43116,1744145100.336693,1744145100.336700,0.000007,2880,2,0,-1.000,-1,0,3291428571.43
187.34.236.89,59341,109.221.67.150,37352,1744145100.336666,1744145100.336666,0.000001,0,1,0,-1.000,-1,0,0.00
163.131.70.162,13577,45.223.5.133,35154,1744145100.336584,1744145100.336584,0.000001,0,1,0,-1.000,1460,0,0.00
155.254.177.115,54052,218.20.67.150,23,1744145100.336579,1744145100.336579,0.000001,0,1,0,-1.000,1398,0,0.00
92.182.89.167,52965,194.30.67.150,50001,1744145100.336422,1744145100.336422,0.000001,0,1,0,-1.000,1460,0,0.00
172.203.28.133,52268,179.200.42.18,443,1744145100.336353,1744145100.336353,0.000001,0,1,0,-1.000,-1,0,0.00
203.33.5.133,49215,126.228.149.18,43852,1744145100.336331,1744145100.336331,0.000001,0,1,0,-1.000,-1,0,0.00
148.228.43.65,183,117.215.173.157,40922,1744145100.336184,1744145100.336217,0.000033,2736,2,0,-1.000,-1,0,663272727.27
166.244.158.141,56716,104.158.67.150,8728,1744145100.336077,1744145100.336077,0.000001,0,1,0,-1.000,-1,0,0.00
98.159.25.95,42397,246.151.178.203,80,1744145100.335859,1744145100.335859,0.000001,0,1,0,-1.000,1440,0,0.00
19.163.217.222,59280,145.216.178.203,22,1744145100.335738,1744145100.335738,0.000001,0,1,0,-1.000,1460,0,0.00
245.162.24.202,43056,148.117.232.52,443,1744145100.335708,1744145100.335708,0.000001,0,1,0,-1.000,1350,0,0.00
19.111.34.73,35485,175.208.15.192,5000,1744145100.335701,1744145100.335701,0.000001,0,1,0,-1.000,1460,0,0.00
205.191.47.195,60349,207.249.5.133,15904,1744145100.335602,1744145100.335602,0.000001,0,1,0,-1.000,1460,0,0.00
208.5.173.157,26890,19.104.67.60,443,1744145100.335527,1744145100.335527,0.000001,1440,1,0,-1.000,-1,0,11520000000.00
30.195.196.3,53806,208.208.67.150,49171,1744145100.335491,1744145100.335491,0.000001,0,1,0,-1.000,1460,0,0.00
61.115.207.193,50353,135.128.178.203,445,1744145100.335410,1744145100.335410,0.000001,0,1,0,-1.000,1460,0,0.00
145.195.171.98,23553,93.56.67.150,80,1744145100.335349,1744145100.335349,0.000001,342,1,0,-1.000,-1,0,2736000000.00
118.177.120.115,60699,100.171.178.203,20111,1744145100.335160,1744145100.335160,0.000001,0,1,0,-1.000,1460,0,0.00
158.131.135.15,56564,33.244.164.163,4505,1744145100.335085,1744145100.335085,0.000001,0,1,0,-1.000,1460,0,0.00
67.149.219.199,2245,241.84.164.163,502,1744145100.335046,1744145100.335046,0.000001,0,1,0,-1.000,1460,0,0.00
53.59.66.20,58161,209.58.5.133,18245,1744145100.335042,1744145100.335042,0.000001,0,1,0,-1.000,-1,0,0.00
187.34.236.89,59341,95.236.67.150,37351,1744145100.335024,1744145100.335024,0.000001,0,1,0,-1.000,-1,0,0.00
207.163.243.70,60000,95.221.67.150,6649,1744145100.335007,1744145100.335007,0.000001,0,1,0,-1.000,-1,0,0.00
158.208.81.205,55626,131.199.164.163,20257,1744145100.334871,1744145100.334871,0.000001,0,1,0,-1.000,1460,0,0.00
187.34.236.89,59341,82.155.67.150,34548,1744145100.334868,1744145100.334868,0.000001,0,1,0,-1.000,-1,0,0.00
89.109.174.140,443,213.41.164.163,54846,1744145100.334714,1744145100.334714,0.000001,0,1,0,-1.000,-1,0,0.00
43.32.161.83,34870,106.164.24.202,4444,1744145100.334713,1744145100.334713,0.000001,115,1,0,-1.000,-1,0,920000000.00
33.115.207.193,47766,252.46.5.133,505,1744145100.334687,1744145100.334687,0.000001,0,1,0,-1.000,1460,0,0.00
207.191.47.195,34183,193.130.178.203,15659,1744145100.334627,1744145100.334627,0.000001,0,1,0,-1.000,1460,0,0.00
166.244.158.141,54743,124.235.178.203,8728,1744145100.334624,1744145100.334624,0.000001,0,1,0,-1.000,-1,0,0.00
16.58.222.178,52241,167.164.24.202,54967,1744145100.334580,1744145100.334580,0.000001,68,1,0,-1.000,-1,0,544000000.00
145.139.119.185,54123,75.162.24.202,3306,1744145100.334561,1744145100.334561,0.000001,0,1,0,-1.000,-1,0,0.00
51.182.194.3,37382,191.218.178.203,49227,1744145100.334314,1744145100.334314,0.000001,0,1,0,-1.000,1460,0,0.00
36.136.162.69,43116,55.186.178.203,80,1744145100.334310,1744145100.334310,0.000001,0,1,0,-1.000,-1,0,0.00
187.34.236.89,59341,190.174.67.150,37362,1744145100.334277,1744145100.334277,0.000001,0,1,0,-1.000,-1,0,0.00
135.225.133.167,39572,206.252.164.163,2000,1744145100.334250,1744145100.334250,0.000001,0,1,0,-1.000,1460,0,0.00
231.131.70.162,42976,60.230.5.133,10887,1744145100.334236,1744145100.334236,0.000001,0,1,0,-1.000,1460,0,0.00
131.53.14.52,37256,210.77.67.150,7443,1744145100.334204,1744145100.334204,0.000001,0,1,0,-1.000,1460,0,0.00
89.64.123.196,45065,3.198.34.210,22,1744145100.334021,1744145100.334021,0.000001,0,1,0,-1.000,-1,0,0.00
93.137.11.156,55638,182.153.178.203,5005,1744145100.334004,1744145100.334004,0.000001,0,1,0,-1.000,-1,0,0.00
203.24.163.164,60000,195.34.5.133,7318,1744145100.333920,1744145100.333920,0.000001,0,1,0,-1.000,-1,0,0.00
29.199.211.162,54969,171.100.67.150,15122,1744145100.333857,1744145100.333857,0.000001,0,1,0,-1.000,-1,0,0.00
141.191.47.195,46132,150.165.24.202,15383,1744145100.333741,1744145100.333741,0.000001,0,1,0,-1.000,1460,0,0.00
40.186.7.92,44574,145.2.67.150,63561,1744145100.333654,1744145100.333654,0.000001,0,1,0,-1.000,-1,0,0.00
248.212.156.198,55936,174.163.178.203,9092,1744145100.333647,1744145100.333647,0.000001,0,1,0,-1.000,1460,0,0.00
67.166.55.170,33433,235.207.164.163,8728,1744145100.333644,1744145100.333644,0.000001,0,1,0,-1.000,-1,0,0.00
181.98.28.133,22,100.52.5.182,49236,1744145100.333636,1744145100.333636,0.000001,0,1,0,-1.000,-1,0,0.00
36.230.10.206,42166,46.165.24.202,18080,1744145100.333481,1744145100.333481,0.000001,22,1,0,-1.000,-1,0,176000000.00
34.119.52.52,443,255.36.148.202,43396,1744145100.333422,1744145100.333422,0.000001,0,1,0,-1.000,-1,0,0.00
21.178.67.150,51354,162.197.176.35,443,1744145100.333321,1744145100.333321,0.000001,0,1,0,-1.000,-1,0,0.00
132.191.47.195,48670,173.233.178.203,15839,1744145100.333197,1744145100.333197,0.000001,0,1,0,-1.000,-1,0,0.00
89.148.213.3,35983,39.185.178.203,3690,1744145100.333152,1744145100.333152,0.000001,0,1,0,-1.000,1460,0,0.00
194.194.164.163,56082,233.126.88.162,443,1744145100.333107,1744145100.333107,0.000001,0,1,0,-1.000,-1,0,0.00
181.88.108.60,35462,238.18.5.133,23,1744145100.333087,1744145100.333087,0.000001,0,1,0,-1.000,-1,0,0.00
158.131.135.15,45995,82.85.67.150,4505,1744145100.333036,1744145100.333036,0.000001,0,1,0,-1.000,1460,0,0.00
187.34.236.89,59341,29.227.67.150,8581,1744145100.332995,1744145100.332995,0.000001,0,1,0,-1.000,-1,0,0.00
168.96.212.172,43777,58.34.5.133,5631,1744145100.332928,1744145100.332928,0.000001,0,1,0,-1.000,-1,0,0.00
208.121.202.172,54912,198.249.178.203,8040,1744145100.332808,1744145100.332808,0.000001,0,1,0,-1.000,-1,0,0.00
194.21.29.211,44314,93.56.67.150,873,1744145100.332790,1744145100.334623,0.001833,0,11,0,-1.000,-1,0,0.00
165.230.10.206,27277,124.255.164.163,1099,1744145100.332618,1744145100.332618,0.000001,0,1,0,-1.000,1460,0,0.00
99.136.6.71,48127,119.253.152.202,445,1744145100.332588,1744145100.332588,0.000001,0,1,0,-1.000,1460,0,0.00
246.43.192.3,37946,69.164.24.202,18208,1744145100.332585,1744145100.332585,0.000001,0,1,0,-1.000,1460,0,0.00
142.33.161.83,53470,233.235.164.163,7777,1744145100.332551,1744145100.332551,0.000001,0,1,0,-1.000,-1,0,0.00
215.68.186.130,443,199.52.156.64,63403,1744145100.332543,1744145100.335838,0.003295,619,3,0,-1.000,-1,0,1502883.16
83.28.218.137,57824,141.197.113.131,25,1744145100.332484,1744145100.332520,0.000036,2648,2,0,-1.000,-1,0,588444444.44
52.7.155.162,443,186.133.113.131,64510,1744145100.332451,1744145100.332757,0.000306,138,2,0,-1.000,-1,0,3607843.14
42.187.113.131,25,207.86.235.172,49893,1744145100.332448,1744145100.332448,0.000001,14,1,0,-1.000,-1,0,112000000.00
158.131.135.15,57433,61.220.5.133,4505,1744145100.332411,1744145100.332411,0.000001,0,1,0,-1.000,1460,0,0.00
168.96.212.172,49577,67.244.5.133,5631,1744145100.332397,1744145100.332397,0.000001,0,1,0,-1.000,-1,0,0.00
187.34.236.89,59341,145.250.67.150,34393,1744145100.332361,1744145100.332361,0.000001,0,1,0,-1.000,-1,0,0.00
238.177.63.128,34637,217.33.148.202,2375,1744145100.332289,1744145100.332289,0.000001,0,1,0,-1.000,-1,0,0.00
86.182.89.167,60935,87.142.164.163,40000,1744145100.332215,1744145100.332215,0.000001,0,1,0,-1.000,1460,0,0.00
12.208.81.205,53921,147.230.178.203,4433,1744145100.332157,1744145100.332157,0.000001,0,1,0,-1.000,1460,0,0.00
62.45.74.185,55402,197.224.67.150,23,1744145100.332089,1744145100.332089,0.000001,0,1,0,-1.000,-1,0,0.00
206.159.205.45,14573,98.92.67.150,23,1744145100.332042,1744145100.332042,0.000001,0,1,0,-1.000,-1,0,0.00
168.96.212.172,40337,125.252.5.133,5631,1744145100.331985,1744145100.331985,0.000001,0,1,0,-1.000,-1,0,0.00
91.36.148.202,3389,0.17.140.45,42292,1744145100.331965,1744145100.331965,0.000001,31,1,0,-1.000,-1,0,248000000.00
91.36.148.202,3389,250.244.158.141,22830,1744145100.331868,1744145100.331868,0.000001,0,1,0,-1.000,-1,0,0.00
168.96.212.172,60061,11.253.5.133,5631,1744145100.331755,1744145100.331755,0.000001,0,1,0,-1.000,-1,0,0.00
65.32.161.83,55634,150.164.178.203,6802,1744145100.331647,1744145100.331647,0.000001,0,1,0,-1.000,-1,0,0.00
209.228.155.175,35580,248.104.123.199,443,1744145100.331632,1744145100.331632,0.000001,0,1,0,-1.000,1452,0,0.00
241.123.110.185,38878,26.216.67.150,8989,1744145100.331600,1744145100.331600,0.000001,0,1,0,-1.000,-1,0,0.00
187.34.236.89,59341,110.205.67.150,8582,1744145100.331437,1744145100.331437,0.000001,0,1,0,-1.000,-1,0,0.00
34.115.207.193,51120,191.250.67.150,3900,1744145100.331434,1744145100.331434,0.000001,0,1,0,-1.000,1460,0,0.00
97.128.126.126,38175,172.220.173.157,80,1744145100.331352,1744145100.331352,0.000001,0,1,0,-1.000,-1,0,0.00
88.87.123.196,42950,58.29.5.133,3128,1744145100.331270,1744145100.331270,0.000001,0,1,0,-1.000,-1,0,0.00
104.15.212.54,443,255.36.148.202,50626,1744145100.331264,1744145100.331264,0.000001,0,1,0,-1.000,-1,0,0.00
183.5.89.210,58312,93.56.67.150,873,1744145100.331156,1744145100.331156,0.000001,0,1,0,-1.000,-1,0,0.00
