SrcIP,SrcPort,DstIP,DstPort,SegmentSize,Count
62.45.74.185,33622,181.61.5.133,23,20,1
144.170.133.167,55885,88.195.28.133,443,681,1
207.30.173.157,56566,119.80.94.43,8080,443,1
227.129.135.15,49008,134.219.152.202,3074,32,1
182.1.124.194,39264,232.30.67.150,5900,24,1
186.157.122.183,27743,31.248.152.202,23,20,2
199.160.89.167,44290,191.251.5.133,60016,40,1
179.49.192.3,46845,227.164.178.203,49204,32,1
80.166.55.170,49230,178.14.164.163,8728,20,1
81.32.161.83,59845,63.29.238.103,60850,20,1
94.32.161.83,58676,233.250.5.133,3391,20,1
165.230.10.206,38286,7.201.5.133,832,40,1
220.153.2.87,52003,237.80.164.163,23,24,4
106.139.15.133,22,53.243.98.43,47422,556,1
239.129.135.15,50266,100.174.67.150,8406,32,1
42.60.26.165,57568,241.33.5.133,21845,32,1
62.249.155.175,19629,248.104.123.199,443,44,1
233.48.91.159,60000,202.35.164.163,2840,20,1
156.73.2.202,5432,225.187.246.219,57808,125,1
91.252.27.156,44344,21.219.178.203,8088,20,1
220.45.44.126,33818,104.221.216.192,53,28,1
144.138.89.207,26200,233.236.178.203,12300,24,1
54.20.102.212,54276,197.33.5.133,9023,40,1
196.71.246.45,56038,129.62.67.150,31337,20,1
63.186.144.39,52944,78.198.5.133,80,340,1
63.186.144.39,52944,78.198.5.133,80,44,1
135.147.14.66,20012,187.230.178.203,18080,24,1
50.175.28.133,64409,179.215.41.104,443,393,1
50.175.28.133,64409,179.215.41.104,443,121,1
50.175.28.133,64409,179.215.41.104,443,146,1
50.175.28.133,64409,179.215.41.104,443,32,1
130.30.67.150,53873,158.84.206.130,443,21,1
190.102.197.91,52952,177.41.67.150,4664,40,1
93.137.11.156,55638,56.34.148.202,5005,20,1
224.208.81.205,55410,92.231.152.202,4002,24,1
60.244.158.141,60342,140.32.148.202,5555,20,1
243.161.43.89,443,54.103.173.157,28090,222,1
157.203.197.36,6913,248.104.123.199,443,44,1
131.53.14.52,35734,19.10.67.150,7443,32,1
191.89.150.112,35807,151.168.178.203,23,40,1
255.33.5.133,18208,246.43.192.3,59688,40,1
30.33.161.83,59798,198.29.238.103,30473,20,1
72.115.207.193,58026,106.232.178.203,8401,24,1
139.91.97.18,50138,215.148.67.150,446,32,1
189.66.222.147,55798,147.195.67.150,111,24,1
166.84.67.150,65347,174.65.214.54,443,75,1
88.21.221.45,8303,185.201.113.131,445,32,1
43.190.178.203,443,156.225.241.182,9261,20,1
166.84.67.150,64636,162.197.176.35,443,75,1
166.131.28.133,51723,32.92.160.85,25,40,1
196.42.134.104,36624,32.137.67.150,22994,20,1
72.70.196.45,43566,54.132.178.203,23,20,1
216.83.3.47,23337,135.71.164.163,8282,32,1
209.59.67.150,443,165.153.231.52,8211,2900,2
209.59.67.150,443,165.153.231.52,8211,4340,1
209.59.67.150,443,165.153.231.52,8211,5780,1
209.59.67.150,443,165.153.231.52,8211,1460,6
196.42.134.104,57776,82.163.164.163,22994,20,1
246.43.192.3,59688,255.33.5.133,18208,40,1
67.166.55.170,60468,253.235.164.163,8728,20,1
169.32.161.83,61000,200.16.67.150,22191,20,1
81.227.254.117,32625,104.255.28.133,23,20,1
66.167.4.36,19020,62.200.5.133,22,20,1
117.32.161.83,47519,8.7.67.150,3791,20,1
156.225.241.182,9261,43.190.178.203,443,20,1
2.191.47.195,47969,93.230.164.163,15483,20,1
160.252.27.156,56775,225.243.67.150,8000,20,1
217.65.9.72,47963,50.197.67.150,443,24,1
46.58.165.218,11678,93.28.238.103,22,96,1
195.230.228.139,45482,90.44.5.133,10159,20,1
91.182.89.167,45089,186.107.67.150,3306,40,1
193.236.83.154,50568,128.232.152.202,80,20,1
26.52.87.75,43294,110.87.164.163,23,40,1
6.210.110.3,443,50.36.148.202,48300,83,1
6.210.110.3,443,50.36.148.202,48300,1395,1
6.210.110.3,443,50.36.148.202,48300,1480,2
184.162.24.202,22,104.96.97.92,34542,312,1
136.170.164.185,44951,30.178.67.150,22,32,1
39.225.153.111,64676,96.165.24.202,1433,61,1
91.252.27.156,50669,4.178.67.150,8088,20,1
148.44.236.45,45189,142.185.67.150,15733,20,1
142.33.161.83,53470,216.229.164.163,4171,20,1
152.228.147.138,15897,216.180.178.203,80,24,1
24.170.101.187,63263,184.58.5.133,445,32,1
111.180.178.203,80,99.16.115.221,47186,5540,1
111.180.178.203,80,99.16.115.221,47186,1400,2
111.180.178.203,80,99.16.115.221,47186,2780,1
72.190.161.107,51903,43.187.113.131,25,38,1
95.198.5.133,60884,62.165.238.192,8443,48,1
22.83.21.47,52571,177.9.67.150,3004,32,1
190.253.210.209,34757,204.104.123.199,443,28,1
95.40.24.34,45432,142.16.67.150,5433,20,1
50.175.28.133,64408,179.215.41.104,443,393,1
50.175.28.133,64408,179.215.41.104,443,121,1
50.175.28.133,64408,179.215.41.104,443,146,1
50.175.28.133,64408,179.215.41.104,443,32,1
73.131.70.162,24639,120.249.67.150,20001,40,1
133.125.80.43,8883,231.177.178.203,62687,53,1
17.245.35.18,43014,240.255.67.150,1434,32,1
50.175.28.133,64407,179.215.41.104,443,57,1
50.175.28.133,64407,179.215.41.104,443,393,1
50.175.28.133,64407,179.215.41.104,443,121,1
50.175.28.133,64407,179.215.41.104,443,146,1
50.175.28.133,64407,179.215.41.104,443,32,1
124.129.249.147,80,136.110.67.150,19940,1330,1
124.129.249.147,80,136.110.67.150,19940,1430,2
124.129.249.147,80,136.110.67.150,19940,188,1
124.129.249.147,80,136.110.67.150,19940,182,1
191.66.222.147,51262,150.196.5.133,12694,24,1
38.99.187.146,443,191.144.67.150,40412,71,1
96.25.113.131,22,207.201.248.63,38453,108,1
110.244.158.141,34111,93.88.67.150,5555,20,1
8.88.34.18,50011,55.11.5.133,20,32,1
229.131.70.162,34744,75.227.5.133,5530,40,1
109.250.228.45,31145,49.83.67.150,8443,20,1
67.166.55.170,51727,150.236.67.150,8728,20,1
208.5.173.157,16740,19.104.67.60,443,532,2
83.134.36.18,45224,119.196.152.202,5061,32,1
40.147.10.47,39616,129.58.67.150,2222,20,1
60.244.158.141,35459,138.192.5.133,5555,20,1
164.236.219.103,34148,45.190.178.203,443,461,1
184.80.2.113,58363,0.192.152.202,46247,24,1
218.211.96.18,46127,220.236.67.150,2209,32,1
89.131.249.116,53887,51.215.5.133,23,52,1
255.36.148.202,51738,205.193.123.153,22,74,1
255.36.148.202,51738,205.193.123.153,22,40,1
29.83.3.47,59128,52.252.67.150,51005,32,1
227.129.135.15,55053,243.161.67.150,3074,32,1
197.33.5.133,9023,54.20.102.212,44600,32,1
255.36.148.202,41040,165.128.13.44,443,1332,1
255.36.148.202,41040,165.128.13.44,443,1086,1
45.146.241.128,80,53.108.67.150,55968,270,1
45.146.241.128,80,53.108.67.150,55968,1476,5
45.146.241.128,80,53.108.67.150,55968,3385,1
46.146.241.128,443,255.178.67.150,62324,4055,1
187.95.26.121,50041,29.98.113.131,23,32,1
34.33.66.159,54024,66.162.67.150,8118,40,1
41.149.126.183,40610,2.236.28.133,23,20,1
122.226.179.109,14225,192.213.178.203,23,24,1
183.226.12.193,37414,53.35.67.150,175,20,1
131.53.14.52,38624,239.149.67.150,7443,32,1
132.58.49.118,40706,102.165.24.202,264,304,1
179.253.33.104,443,152.246.67.150,53574,96,1
179.253.33.104,443,152.246.67.150,53574,816,1
29.199.211.162,42886,245.22.5.133,15122,20,1
82.182.89.167,19912,202.130.178.203,5671,40,1
124.66.222.147,51404,212.234.5.133,37777,24,1
231.198.39.117,20650,161.248.5.133,23,20,2
205.191.47.195,40326,223.32.67.150,15904,32,1
98.65.173.80,60000,128.125.67.150,25055,20,1
54.20.102.212,44600,197.33.5.133,9023,32,1
227.129.135.15,54406,218.229.178.203,3074,32,1
133.135.199.79,15196,51.57.186.130,3128,24,1
201.113.243.219,49509,149.200.152.202,23,40,1
196.151.67.20,35352,27.32.5.133,7473,20,1
143.138.89.207,26200,248.210.178.203,16004,24,1
26.239.112.126,63951,110.205.112.131,143,44,1
50.36.148.202,48300,6.210.110.3,443,158,1
50.36.148.202,48300,6.210.110.3,443,220,1
140.115.207.193,51286,141.194.152.202,771,24,1
136.170.164.185,55075,161.193.178.203,22,32,1
5.189.39.38,4853,98.149.164.163,23,40,1
98.188.136.34,443,225.114.67.150,45918,335,1
74.117.66.176,40649,127.133.164.163,9000,20,1
241.182.159.223,58124,77.182.178.203,23,20,1
39.131.70.162,35314,84.162.24.202,8692,20,1
208.5.173.157,38466,19.104.67.60,443,1460,2
98.188.136.34,443,225.114.67.150,45806,63,1
40.77.67.150,56279,74.243.131.20,443,20,1
40.77.67.150,56279,74.243.131.20,443,44,1
12.212.156.198,49399,180.5.5.133,5061,24,1
4.34.148.202,20001,56.80.166.80,57266,51,1
55.186.178.203,80,48.97.212.49,53662,3008,1
55.186.178.203,80,48.97.212.49,53662,21752,5
55.186.178.203,80,48.97.212.49,53662,15960,3
55.186.178.203,80,48.97.212.49,53662,1480,14
55.186.178.203,80,48.97.212.49,53662,23200,2
55.186.178.203,80,48.97.212.49,53662,18856,1
55.186.178.203,80,48.97.212.49,53662,2928,11
55.186.178.203,80,48.97.212.49,53662,11616,3
55.186.178.203,80,48.97.212.49,53662,20304,5
55.186.178.203,80,48.97.212.49,53662,8720,17
55.186.178.203,80,48.97.212.49,53662,17408,5
55.186.178.203,80,48.97.212.49,53662,4376,20
55.186.178.203,80,48.97.212.49,53662,13064,7
55.186.178.203,80,48.97.212.49,53662,10168,16
55.186.178.203,80,48.97.212.49,53662,5824,23
55.186.178.203,80,48.97.212.49,53662,7272,17
158.131.135.15,51518,58.245.67.150,4505,32,1
65.21.11.156,37296,10.217.164.163,8089,24,1
238.129.135.15,43057,13.53.28.133,9037,32,1
30.107.255.202,8572,96.106.123.199,443,32,1
170.216.126.153,1883,106.185.178.203,58215,616,1
170.216.126.153,1883,106.185.178.203,58215,319,1
170.216.126.153,1883,104.185.178.203,55520,616,1
170.216.126.153,1883,104.185.178.203,55520,319,1
170.216.126.153,1883,104.185.178.203,48220,616,1
170.216.126.153,1883,104.185.178.203,48220,319,1
119.143.83.213,38795,254.26.67.150,5555,32,1
128.230.10.206,31190,73.229.152.202,20532,40,1
225.187.246.219,57808,156.73.2.202,5432,87,1
95.182.89.167,22197,136.209.5.133,465,40,1
148.230.10.206,43874,116.117.67.150,26247,40,1
61.66.227.17,443,198.184.178.203,53797,2844,1
61.66.227.17,443,198.184.178.203,53797,108,1
61.66.227.17,443,198.184.178.203,53797,1476,5
61.66.227.17,443,198.184.178.203,53797,2920,6
94.32.161.83,58676,172.250.5.133,3391,20,1
50.175.28.133,64406,179.215.41.104,443,20,1
50.175.28.133,64406,179.215.41.104,443,57,1
50.175.28.133,64406,179.215.41.104,443,393,1
50.175.28.133,64406,179.215.41.104,443,121,1
50.175.28.133,64406,179.215.41.104,443,146,1
50.175.28.133,64406,179.215.41.104,443,32,1
101.136.6.71,53166,246.197.152.202,139,24,1
45.124.119.46,25758,36.235.152.202,2323,20,1
130.230.10.206,63885,24.233.5.133,10932,40,1
63.186.144.39,51419,78.198.5.133,80,32,1
117.208.81.205,52905,234.170.67.150,9200,24,1
89.182.89.167,26452,39.182.28.133,4840,40,1
239.182.89.167,21652,5.5.67.150,17777,40,1
239.129.135.15,59409,29.187.28.133,8406,32,1
238.129.135.15,50983,6.165.67.150,9037,32,1
112.32.161.83,48427,124.238.178.203,7654,20,1
147.21.170.3,443,115.62.67.150,44611,1354,1
147.21.170.3,443,115.62.67.150,44611,1430,2
147.21.170.3,443,115.62.67.150,44611,4150,3
42.14.50.139,2209,143.113.164.163,873,20,1
227.129.135.15,44987,94.41.67.150,3074,32,1
119.78.192.3,47128,225.162.24.202,11680,191,1
170.216.126.153,1883,106.185.178.203,54168,616,1
170.216.126.153,1883,106.185.178.203,54168,319,1
119.78.192.3,38516,97.164.24.202,11680,148,1
118.141.11.185,13360,11.224.152.202,9160,20,1
70.229.10.206,25948,118.231.67.150,51058,24,1
68.232.9.1,45030,237.229.152.202,23,40,1
26.206.157.185,873,93.56.67.150,41480,936,1
56.80.166.80,57266,4.34.148.202,20001,106,1
56.80.166.80,57266,4.34.148.202,20001,71,1
76.12.53.164,443,211.108.67.150,44972,59,1
40.186.7.92,44574,32.36.148.202,63540,20,1
249.176.248.13,51302,69.165.24.202,6010,40,1
238.177.63.128,41260,101.196.152.202,2375,20,1
34.42.209.101,80,120.110.67.150,52610,2210,1
34.42.209.101,80,120.110.67.150,52610,21,1
34.42.209.101,80,120.110.67.150,52610,3891,2
34.42.209.101,80,120.110.67.150,52610,1960,1
34.42.209.101,80,120.110.67.150,52610,9672,1
34.42.209.101,80,120.110.67.150,52610,455,2
34.42.209.101,80,120.110.67.150,52610,1480,3
34.42.209.101,80,120.110.67.150,52610,1196,2
34.42.209.101,80,120.110.67.150,52610,5576,2
34.42.209.101,80,120.110.67.150,52610,6752,1
34.42.209.101,80,120.110.67.150,52610,2656,3
34.42.209.101,80,120.110.67.150,52610,2940,1
34.42.209.101,80,120.110.67.150,52610,12308,1
34.42.209.101,80,120.110.67.150,52610,4116,6
238.129.135.15,35412,176.222.5.133,9037,32,1
150.177.178.203,47068,94.234.53.149,8890,32,1
255.178.67.150,53790,68.56.147.13,443,466,1
255.178.67.150,53790,68.56.147.13,443,747,1
255.178.67.150,53790,68.56.147.13,443,58,1
169.32.161.83,61000,210.58.5.133,22321,20,1
65.27.131.46,41527,152.34.186.130,3389,20,1
228.127.24.103,55172,122.237.152.202,1433,20,1
196.71.246.45,56038,183.108.67.150,5001,20,1
119.78.192.3,47078,145.164.24.202,2000,191,1
160.252.27.156,56775,232.21.67.150,8000,20,1
81.227.254.117,32625,26.45.28.133,23,20,1
46.122.89.23,40123,70.240.67.150,3389,20,1
242.104.149.20,60833,218.171.178.203,4443,20,1
65.32.161.83,55634,106.249.152.202,5369,20,1
233.41.248.222,44528,212.161.178.203,22,20,1
14.66.222.147,56948,233.112.67.150,37443,24,1
145.236.238.38,873,93.56.67.150,54939,1400,2
167.244.158.141,35249,251.210.152.202,80,20,1
48.97.212.49,53662,55.186.178.203,80,313,1
249.62.19.180,50692,29.133.186.130,47000,32,1
142.33.161.83,53470,83.107.67.150,3393,20,1
9.192.155.175,52994,248.104.123.199,443,44,1
227.129.135.15,60965,150.130.178.203,3074,32,1
46.122.89.23,40123,176.32.67.150,3389,20,1
145.236.238.38,873,55.186.178.203,41294,5504,2
145.236.238.38,873,55.186.178.203,41294,1400,4
145.236.238.38,873,55.186.178.203,41294,2768,3
170.204.160.74,20904,61.162.112.131,7777,1480,5
208.5.173.157,47338,19.104.67.60,443,1460,4
203.24.163.164,60000,181.125.164.163,7306,20,1
50.175.28.133,64403,179.215.41.104,443,20,1
50.175.28.133,64403,179.215.41.104,443,57,1
50.175.28.133,64403,179.215.41.104,443,393,1
50.175.28.133,64403,179.215.41.104,443,121,1
15.200.155.175,51671,248.104.123.199,443,44,1
144.236.238.38,873,93.56.67.150,48596,2768,1
144.236.238.38,873,93.56.67.150,48596,1400,2
137.230.10.206,18561,215.220.152.202,11051,40,1
2.191.47.195,55547,122.58.164.163,15483,20,1
208.5.173.157,21404,19.104.67.60,443,1460,2
3.48.30.122,13281,54.19.5.133,23,20,1
132.191.47.195,60416,190.165.24.202,15839,20,1
34.106.123.196,51824,23.237.5.133,22,20,1
46.83.3.47,19417,206.234.67.150,9088,32,1
249.176.248.13,52790,183.164.24.202,6010,40,1
50.175.28.133,64397,179.215.41.104,443,20,1
50.175.28.133,64397,179.215.41.104,443,57,1
181.44.67.150,993,220.244.168.203,39890,350,1
158.131.135.15,46629,177.162.28.133,4505,32,1
72.149.219.199,8092,125.235.152.202,50580,40,1
227.129.135.15,34048,226.128.113.131,3074,32,1
231.131.70.162,14479,15.28.5.133,30302,40,1
50.175.28.133,64393,179.215.41.104,443,20,1
118.177.120.115,25221,138.249.152.202,700,24,1
125.16.22.106,36462,191.162.24.202,3389,71,1
196.71.246.45,56038,84.38.67.150,7002,20,1
88.111.70.103,40178,221.104.112.131,22,20,1
142.33.161.83,53470,254.196.67.150,8803,20,1
13.14.226.108,44788,192.165.24.202,27826,88,1
139.230.10.206,47199,157.12.67.150,26472,40,1
162.230.10.206,4468,100.24.5.133,44819,40,1
81.10.63.160,43929,184.10.173.157,3128,20,1
80.166.55.170,52241,159.181.178.203,8728,20,1
65.115.207.193,55041,6.198.34.210,3890,24,1
162.62.48.152,45826,217.164.24.202,1971,31,1
50.175.28.133,64399,179.215.41.104,443,20,1
50.175.28.133,64399,179.215.41.104,443,57,1
50.175.28.133,64399,179.215.41.104,443,393,1
149.230.10.206,7396,99.231.178.203,53342,40,1
62.165.238.192,8443,95.198.5.133,60884,72,1
136.170.164.185,44140,134.10.5.133,22,32,1
52.126.96.18,47091,177.75.67.150,49192,32,1
230.182.89.167,23360,241.207.152.202,58450,40,1
202.190.125.52,443,36.36.148.202,58400,78,1
202.190.125.52,443,36.36.148.202,58400,71,1
50.175.28.133,64405,179.215.41.104,443,20,1
50.175.28.133,64405,179.215.41.104,443,57,1
50.175.28.133,64405,179.215.41.104,443,393,1
50.175.28.133,64405,179.215.41.104,443,121,1
50.175.28.133,64405,179.215.41.104,443,32,1
7.214.67.150,58776,180.218.247.13,443,59,1
7.214.67.150,58776,180.218.247.13,443,249,1
62.45.74.185,40371,82.232.67.150,23,20,1
177.206.98.18,33298,22.230.152.202,808,32,1
147.160.89.167,1628,144.244.152.202,10252,40,1
50.175.28.133,64398,179.215.41.104,443,20,1
50.175.28.133,64398,179.215.41.104,443,57,1
50.175.28.133,64398,179.215.41.104,443,393,1
72.229.10.206,59812,203.164.24.202,8476,40,1
46.75.14.14,56086,11.22.15.133,1433,20,1
100.45.5.133,587,114.179.102.87,49918,95,1
122.27.93.45,43255,237.29.238.103,5327,20,1
162.230.10.206,63024,68.192.164.163,2053,40,1
232.152.236.37,443,212.82.15.133,57386,2768,2
232.152.236.37,443,212.82.15.133,57386,1400,4
86.137.11.156,54390,176.84.67.150,8787,20,1
235.81.110.64,61002,157.52.67.150,22,24,1
142.33.161.83,53470,98.194.164.163,3380,20,1
174.65.220.23,80,36.36.148.202,49208,32,1
174.65.220.23,80,36.36.148.202,49208,219,1
174.65.220.23,80,36.36.148.202,49208,40,1
250.123.211.3,43369,157.167.67.150,93,32,1
232.120.228.1,34666,178.169.67.150,23,20,1
112.32.161.83,48427,203.221.5.133,33898,20,1
98.188.136.34,443,225.114.67.150,45928,335,1
98.188.136.34,443,225.114.67.150,45928,4451,1
136.170.164.185,44141,134.10.5.133,22,32,1
64.149.219.199,17219,218.56.67.150,6881,40,1
137.209.104.176,48785,94.72.113.131,23,40,1
178.216.28.133,53242,229.253.65.172,443,67,1
82.234.7.162,873,93.56.67.150,47718,1480,10
82.234.7.162,873,93.56.67.150,47718,2928,3
11.115.207.193,51283,122.255.152.202,8085,24,1
158.162.178.203,57540,214.19.251.128,14022,98,2
158.162.178.203,57540,214.19.251.128,14022,54,7
48.201.254.223,14489,172.149.178.203,23,20,1
36.36.148.202,49208,174.65.220.23,80,32,1
36.36.148.202,49208,174.65.220.23,80,143,1
36.36.148.202,49208,174.65.220.23,80,40,1
74.189.14.66,20012,34.55.5.133,18080,24,1
169.32.161.83,61000,216.246.5.133,22188,20,1
38.99.187.146,443,42.133.67.150,37420,71,1
244.21.102.211,37119,99.197.113.131,8080,20,1
208.5.173.157,11702,19.104.67.60,443,1460,5
50.175.28.133,64394,179.215.41.104,443,20,1
50.175.28.133,64396,179.215.41.104,443,20,1
184.115.207.193,51236,230.203.178.203,17990,24,1
65.160.67.172,443,249.178.67.150,50327,1270,1
65.160.67.172,443,249.178.67.150,50327,2520,15
193.236.83.154,51739,9.115.67.150,80,20,1
191.90.141.87,42291,242.165.24.202,8443,34,1
222.6.45.104,443,99.108.67.150,53881,1759,1
222.6.45.104,443,99.108.67.150,53881,2912,4
222.6.45.104,443,99.108.67.150,53881,1472,2
222.6.45.104,443,99.108.67.150,53881,100,1
50.175.28.133,64400,179.215.41.104,443,20,1
50.175.28.133,64400,179.215.41.104,443,57,1
50.175.28.133,64400,179.215.41.104,443,393,1
50.175.28.133,64400,179.215.41.104,443,121,1
196.42.134.104,54967,150.18.67.150,22994,20,1
50.175.28.133,64402,179.215.41.104,443,20,1
50.175.28.133,64402,179.215.41.104,443,57,1
50.175.28.133,64402,179.215.41.104,443,393,1
50.175.28.133,64402,179.215.41.104,443,121,1
238.188.197.36,7320,248.104.123.199,443,44,1
76.12.53.164,443,211.108.67.150,36428,20,1
83.85.76.71,45873,124.250.186.130,23,20,1
181.44.67.150,993,151.94.114.49,53443,303,1
186.82.242.47,55339,185.25.67.150,23,20,2
45.211.10.96,853,154.177.178.203,11890,135,1
45.211.10.96,853,154.177.178.203,11890,1535,1
189.165.178.203,443,142.217.247.185,49337,911,1
189.165.178.203,443,142.217.247.185,49337,1480,1
182.166.183.220,14742,105.104.28.133,17001,20,1
192.238.80.8,49011,118.50.67.150,8013,32,1
191.177.178.203,465,41.63.94.64,54471,1589,1
191.177.178.203,465,41.63.94.64,54471,1480,1
158.131.135.15,49227,8.185.178.203,4505,32,1
206.191.47.195,19116,14.220.152.202,830,80,1
50.175.28.133,64404,179.215.41.104,443,20,1
50.175.28.133,64404,179.215.41.104,443,57,1
50.175.28.133,64404,179.215.41.104,443,393,1
50.175.28.133,64404,179.215.41.104,443,121,1
50.175.28.133,64404,179.215.41.104,443,146,1
112.32.161.83,48427,199.250.178.203,3388,20,1
208.121.202.172,43588,112.166.178.203,8040,20,1
227.129.135.15,35651,57.201.178.203,3074,32,1
141.138.89.207,26200,40.236.178.203,13000,24,1
45.190.178.203,443,85.21.52.124,47096,922,1
45.190.178.203,443,85.21.52.124,47096,1167,1
45.190.178.203,443,85.21.52.124,47096,111,2
45.190.178.203,443,85.21.52.124,47096,1065,1
65.160.67.172,443,249.178.67.150,50280,2520,21
58.58.67.150,443,156.200.15.126,60948,28,1
193.164.132.91,873,115.246.152.202,43230,11616,1
193.164.132.91,873,115.246.152.202,43230,8720,2
193.164.132.91,873,115.246.152.202,43230,10168,2
193.164.132.91,873,115.246.152.202,43230,7272,3
193.164.132.91,873,115.246.152.202,43230,4376,9
193.164.132.91,873,115.246.152.202,43230,5824,7
193.164.132.91,873,115.246.152.202,43230,2928,11
193.164.132.91,873,115.246.152.202,43230,1480,41
109.250.228.45,13979,50.105.67.150,8443,20,1
13.143.162.107,51224,160.164.24.202,22,32,1
65.160.67.172,443,249.178.67.150,50326,2520,23
68.29.67.150,64793,22.142.107.51,443,232,1
60.99.37.18,50040,21.194.152.202,50003,32,1
50.175.28.133,64401,179.215.41.104,443,20,1
50.175.28.133,64401,179.215.41.104,443,57,1
50.175.28.133,64401,179.215.41.104,443,393,1
50.175.28.133,64401,179.215.41.104,443,121,1
17.245.35.18,42067,109.19.5.133,1434,32,1
50.175.28.133,64395,179.215.41.104,443,20,1
158.160.89.167,52023,191.184.178.203,20546,40,1
84.198.96.40,443,26.190.178.203,44598,118,1
80.166.55.170,35725,83.56.5.133,8728,20,1
199.234.152.202,22,183.56.195.186,35546,84,1
242.166.4.31,443,198.184.178.203,48410,2508,6
242.166.4.31,443,198.184.178.203,48410,1270,13
65.32.161.83,55634,99.71.164.163,6001,20,1
106.197.30.142,443,237.110.67.150,50124,1432,2
106.197.30.142,443,237.110.67.150,50124,2832,15
110.244.158.141,50916,199.199.67.150,5555,20,1
161.27.95.8,43689,120.211.152.202,3080,32,1
247.150.199.3,51530,117.201.152.202,8600,32,1
154.199.60.192,41298,44.7.67.150,1433,20,1
250.57.127.150,52690,210.150.186.130,8000,24,1
157.114.219.37,183,117.215.173.157,59142,1388,1
157.114.219.37,183,117.215.173.157,59142,2768,3
157.114.219.37,183,117.215.173.157,59142,1400,21
