SrcIP,SrcPort,DstIP,DstPort,SegmentSize,Count
239.129.135.15,49547,17.138.178.203,8406,32,1
12.246.55.121,15339,250.139.113.131,23,20,1
55.186.178.203,80,36.136.162.69,43116,1472,2
187.34.236.89,59341,109.221.67.150,37352,20,1
163.131.70.162,13577,45.223.5.133,35154,40,1
155.254.177.115,54052,218.20.67.150,23,40,1
92.182.89.167,52965,194.30.67.150,50001,40,1
148.228.43.65,183,117.215.173.157,40922,1400,2
166.244.158.141,56716,104.158.67.150,8728,20,1
98.159.25.95,42397,246.151.178.203,80,24,1
19.163.217.222,59280,145.216.178.203,22,40,1
245.162.24.202,43056,148.117.232.52,443,40,1
19.111.34.73,35485,175.208.15.192,5000,32,1
205.191.47.195,60349,207.249.5.133,15904,32,1
208.5.173.157,26890,19.104.67.60,443,1460,1
30.195.196.3,53806,208.208.67.150,49171,32,1
61.115.207.193,50353,135.128.178.203,445,24,1
145.195.171.98,23553,93.56.67.150,80,374,1
118.177.120.115,60699,100.171.178.203,20111,24,1
158.131.135.15,56564,33.244.164.163,4505,32,1
67.149.219.199,2245,241.84.164.163,502,40,1
53.59.66.20,58161,209.58.5.133,18245,20,1
187.34.236.89,59341,95.236.67.150,37351,20,1
207.163.243.70,60000,95.221.67.150,6649,20,1
158.208.81.205,55626,131.199.164.163,20257,24,1
187.34.236.89,59341,82.155.67.150,34548,20,1
43.32.161.83,34870,106.164.24.202,4444,135,1
33.115.207.193,47766,252.46.5.133,505,24,1
207.191.47.195,34183,193.130.178.203,15659,32,1
166.244.158.141,54743,124.235.178.203,8728,20,1
16.58.222.178,52241,167.164.24.202,54967,88,1
145.139.119.185,54123,75.162.24.202,3306,20,1
51.182.194.3,37382,191.218.178.203,49227,32,1
187.34.236.89,59341,190.174.67.150,37362,20,1
135.225.133.167,39572,206.252.164.163,2000,32,1
231.131.70.162,42976,60.230.5.133,10887,40,1
131.53.14.52,37256,210.77.67.150,7443,32,1
89.64.123.196,45065,3.198.34.210,22,20,1
93.137.11.156,55638,182.153.178.203,5005,20,1
203.24.163.164,60000,195.34.5.133,7318,20,1
29.199.211.162,54969,171.100.67.150,15122,20,1
141.191.47.195,46132,150.165.24.202,15383,40,1
40.186.7.92,44574,145.2.67.150,63561,20,1
248.212.156.198,55936,174.163.178.203,9092,24,1
67.166.55.170,33433,235.207.164.163,8728,20,1
36.230.10.206,42166,46.165.24.202,18080,42,1
132.191.47.195,48670,173.233.178.203,15839,20,1
89.148.213.3,35983,39.185.178.203,3690,32,1
181.88.108.60,35462,238.18.5.133,23,20,1
158.131.135.15,45995,82.85.67.150,4505,32,1
187.34.236.89,59341,29.227.67.150,8581,20,1
168.96.212.172,43777,58.34.5.133,5631,20,1
208.121.202.172,54912,198.249.178.203,8040,20,1
165.230.10.206,27277,124.255.164.163,1099,40,1
99.136.6.71,48127,119.253.152.202,445,24,1
246.43.192.3,37946,69.164.24.202,18208,40,1
142.33.161.83,53470,233.235.164.163,7777,20,1
215.68.186.130,443,199.52.156.64,63403,320,1
215.68.186.130,443,199.52.156.64,63403,339,1
83.28.218.137,57824,141.197.113.131,25,1480,1
83.28.218.137,57824,141.197.113.131,25,1232,1
